ID,Date of Birth,Highest Education,Marital Status,Occupation,Race,Sex,Current City,Current State,Current Zip,How long has it been since you bought new clothing?,Which is you favorite store to shop at?,Favorite Clothing to shop for?,Do you have clothing in your closet that you do not wear?,"If yes, approximately how many items?",How often do you shop?,What do you do with old clothing?,Would you be open to donating old clothing?,"If Yes, which organization would you donate to?",How often do you give charity?
1,9/13/96,Bachelors,Dating,Student,White,Male,New York,New York ,10033,Week,Discount Stores,Shoes,Yes,25,Weekly,Pass down to family or Friend,Maybe,Goodwill,Sometimes
2,2/21/91,Some College,Dating,Student,Black,Female,Chicago,IL,91324,6 Months,Discount Stores,Tops,Yes,17,Daily,Keep in closet,No ,Local Church/Synagogue,Always
3,9/11/81,Masters,Married,Student,Asian,Female,Los Angeles,CA,91750,Week,Discount Stores,Tops,Yes,13,Monthly,Keep in closet,Yes,Salvation Army,Always
4,9/14/89,Some College,Married,Student,Black,Male,Los Angeles,CA,33199,Month,Department Store,Shoes,No,22,Yearly,Donate,Yes,Salvation Army,Never
5,1/10/92,Some College,Single,Employeed,Asian,Female,Miami,FL,60602,6 Months,Department Store,Tops,No,4,Weekly,Throw out,No ,Homeless Shelter,Often
6,1/25/91,HS Grad,Single,Employeed,Hispanic,Male,Chicago,IL,60606,6 Months,Thrift Store,Accessories,Yes,8,Monthly,Keep in closet,No ,Goodwill,Rarely
7,3/13/81,Some College,Married,Student,Asian,Female,Chicago,IL,90089,Year or more,Department Store,Accessories,No,21,Yearly,Pass down to family or friend,No ,American Red Cross,Often
8,8/11/86,Masters,Married,Employeed,White,Female,Los Angeles,CA,91405,Week,Department Store,Accessories,Yes,1,Weekly,Keep in closet,No ,Goodwill,Never
9,7/26/82,Some College,Married,Student,Other,Female,Los Angeles,CA,30002,Week,Thrift Store,Tops,No,15,Monthly,Donate,Yes,Goodwill,Sometimes
10,11/26/94,Bachelor,Dating,Student,Other,Female,Atlanta,GA,30311,Year or more,Thrift Store,Tops,No,14,Weekly,Sell/ Pawn,No ,Goodwill,Rarely
11,3/21/94,Masters,Married,Employeed,White,Female,Atlanta,GA,30345,Year or more,Discount Stores,Bottoms,No,14,Monthly,Sell/ Pawn,No ,Salvation Army,Never
12,5/14/87,Bachelor,Dating,Student,White,Female,Atlanta,GA,60614,Week,Department Store,Bottoms,No,16,Weekly,Sell/ Pawn,Yes,American Red Cross,Always
13,8/22/84,Some College,Single,Student,Black,Female,Chicago,IL,11367,Year or more,Discount Stores,Accessories,Yes,1,Monthly,Sell/ Pawn,Yes,Thrift Store,Rarely
14,12/31/92,Masters,Married,Student,Hispanic,Male,New York,NY,30344,6 Months,Department Store,Bottoms,Yes,16,Yearly,Keep in closet,No ,Goodwill,Rarely
15,11/10/81,HS Grad,Married,Employeed,Black,Male,Atlanta,GA,30360,Month,Thrift Store,Bottoms,No,17,Yearly,Throw out,Yes,American Red Cross,Always
16,5/2/85,HS Grad,Married,Student,Asian,Male,Atlanta,GA,33149,Month,Thrift Store,Bottoms,Yes,2,Yearly,Donate,Yes,American Red Cross,Always
17,11/6/87,Bachelor,Married,Employeed,Black,Male,Miami,FL,60606,Week,Thrift Store,Accessories,No,18,Weekly,Throw out,Yes,Thrift Store,Sometimes
18,2/17/90,Bachelor,Married,Student,Black,Female,Chicago,IL,10309,Day,Discount Stores,Accessories,No,24,Yearly,Keep in closet,Yes,Homeless Shelter,Always
19,4/18/82,Some College,Dating,Student,Asian,Male,New York,NY,30318,Day,Discount Stores,Shoes,No,21,Daily,Keep in closet,Yes,Homeless Shelter,Sometimes
