OBJECTID,WEB_URL,PHONE,ZIP,GIS_ID,ADDRESS,NUMROOMS,NAME,X,Y,ADDRID
1,,202-543-1020,20003,Htl_1,134 12TH STREET SE,5,A CAPITOL PLACE,400869.56,135613.84,66757
2,http://adamsinn.com/,202-745-3600,20009,Htl_2,1746 LANIER PLACE NW,26,ADAM'S INN,396392.87,139629.97,307146
3,http://www.stayaka.com/locations/white_house/default.aspx,202-904-2500,20006,Htl_3,1710 H STREET NW,142,AKA WHITE HOUSE,396504.91,136901.48,218432
4,http://www.hotelhive.com,202-849-8499,20037,Htl_4,2224 F STREET NW,50,HOTEL HIVE,395691.86,136591.26,242724
5,http://www.americanguesthouse.com/,202-588-1180,20009,Htl_5,2005 COLUMBIA ROAD NW,12,AMERICAN GUEST HOUSE,396015.73,138872.49,235122
6,,202-570-1281,20010,Htl_6,1207 KENYON STREET NW,6,ASANTE SANA INN,397537.26,140226.6,231121
7,https://www.avenuesuitesgeorgetown.com/,202-333-8060,20037,Htl_7,2500 PENNSYLVANIA AVENUE NW,124,AVENUE SUITES HOTEL,395344.68,137287.83,273885
8,http://www.beaconhotelwdc.com/,202-296-2100,20036,Htl_8,1615 RHODE ISLAND AVENUE NW,60,BEACON HOTEL AND CORPORATE QUARTERS,396699.75,137688.48,279263
9,https://www.georgetowninnwestend.com/,202-457-0565,20037,Htl_9,1121 NEW HAMPSHIRE AVENUE NW,76,GEORGETOWN INN WEST END,395840.73,137384.06,242738
10,https://www.bridgestreet.com/properties/washington/the-woodward,1-800-278-7338,20005,Htl_10,733 15TH STREET NW,,THE WOODWARD BY BRIDGESTREET,397105.09,136887.3,279921
11,https://www.ivycityhotel.com/,202-529-3900,20002,Htl_11,1615 NEW YORK AVENUE NE,58,IVY CITY HOTEL,401693.61,138754.31,286348
12,https://www.rosewoodhotels.com/en/washington-dc,202-617-2400,20007,Htl_12,1050 31ST STREET NW,61,"ROSEWOOD WASHINGTON, D.C.",394669.37,137349.83,273780
13,http://www3.hilton.com/en/hotels/district-of-columbia/capital-hilton-DCASHHH/index.html,202-393-1000,20036,Htl_13,1001 16TH STREET NW,541,CAPITAL HILTON,396883.19,137252.47,278775
14,http://hiltondcnationalmall.com/,202-871-8345,20024,Htl_14,480 L'ENFANT PLAZA SW,372,HILTON WASHINGTON DC NATIONAL MALL,397885.97,135118.5,302307
15,http://www.capitalhostels.com/,202-450-3450,20001,Htl_15,301 I STREET NW,,CAPITAL VIEW HOSTEL,398661.38,137068.23,289320
16,http://capitolhillhotel-dc.com/,202-543-6000,20003,Htl_16,200 C STREET SE,152,CAPITOL HILL HOTEL,399733.27,135376.88,278017
17,http://www.capitolskyline.com/,202-488-7500,20024,Htl_17,10 I STREET SW,203,CAPITOL SKYLINE HOTEL,399155.72,134576.96,276385
18,https://www.carlylehoteldc.com/boutique-hotels-washington-dc/,202-234-3200,20009,Htl_18,1731 NEW HAMPSHIRE AVENUE NW,170,KIMPTON CARLYLE HOTEL,396576.77,138386.85,241652
19,http://www.thechurchillhotel.com/,202-797-2000,20009,Htl_20,1914 CONNECTICUT AVENUE NW,173,THE CHURCHILL HOTEL NEAR EMBASSY ROW,395927.4,138724.01,235060
20,https://clubquartershotels.com/locations/club-quarters-hotel-washington-dc,202-463-6400,20006,Htl_21,839 17TH STREET NW,185,"CLUB QUARTERS HOTEL WASHINGTON, D.C.",396596.19,137025.43,218777
21,https://www.choicehotels.com/district-of-columbia/washington/quality-inn-hotels/dc012,202-832-3200,20002,Htl_22,1600 NEW YORK AVENUE NE,134,QUALITY INN  & SUITES NEW YORK AVE,401736.92,138839.79,60554
22,https://www.dcdowntownhotel.com/,202-682-5300,20005,Htl_23,1201 13TH STREET NW,100,COMFORT INN DOWNTOWN DC/CONVENTION CENTER,397454.33,137561.18,240912
23,http://www.marriott.com/hotels/travel/wascn-courtyard-washington-convention-center/,202-638-4600,20004,Htl_24,900 F STREET NW,188,COURTYARD WASHINGTON CONVENTION CENTER,397889.76,136579.88,243269
24,http://www.marriott.com/hotels/travel/wasnw-courtyard-washington-dc-dupont-circle/,202-332-9300,20009,Htl_25,1900 CONNECTICUT AVENUE NW,147,"COURTYARD WASHINGTON, DC/DUPONT CIRCLE",395935.01,138685.68,235054
25,http://www.marriott.com/hotels/travel/wasem-courtyard-washington-embassy-row/,202-293-8000,20036,Htl_26,1600 RHODE ISLAND AVENUE NW,158,COURTYARD WASHINGTON EMBASSY ROW,396793.26,137645.95,242882
26,http://www.marriott.com/hotels/travel/wasfb-courtyard-washington-dc-foggy-bottom/,202-296-5700,20006,Htl_27,515 20TH STREET NW,149,"COURTYARD WASHINGTON, DC/FOGGY BOTTOM",396123.41,136519.29,279821
27,http://www.marriott.com/hotels/travel/wasus-courtyard-washington-dc-us-capitol/,202-898-4000,20002,Htl_28,1325 2ND STREET NE,218,"COURTYARD WASHINGTON, DC/U.S. CAPITOL",399725.6,137770.75,304846
28,http://www.marriott.com/hotels/travel/wasny-courtyard-washington-capitol-hill-navy-yard/,202-479-0027,20003,Htl_29,140 L STREET SE,204,COURTYARD WASHINGTON CAPITOL HILL/NAVY YARD,399656.31,134430.27,299775
