year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2013,1,1,517,2,830,11,UA,N14228,1545,EWR,IAH,227,1400,5,17
2013,1,1,533,4,850,20,UA,N24211,1714,LGA,IAH,227,1416,5,33
2013,1,1,542,2,923,33,AA,N619AA,1141,JFK,MIA,160,1089,5,42
2013,1,1,554,-4,740,12,UA,N39463,1696,EWR,ORD,150,719,6,54
2013,1,1,555,-5,913,19,B6,N516JB,507,EWR,FLL,158,1065,6,55
2013,1,1,558,-2,753,8,AA,N3ALAA,301,LGA,ORD,138,733,6,58
2013,1,1,558,-2,924,7,UA,N29129,194,JFK,LAX,345,2475,6,58
2013,1,1,559,-1,941,31,AA,N3DUAA,707,LGA,DFW,257,1389,6,59
2013,1,1,600,0,837,12,MQ,N542MQ,4650,LGA,ATL,134,762,6,0
2013,1,1,601,1,844,-6,B6,N644JB,343,EWR,PBI,147,1023,6,1
2013,1,1,602,-3,821,16,MQ,N730MQ,4401,LGA,DTW,105,502,6,2
2013,1,1,608,8,807,32,MQ,N9EAMQ,3768,EWR,ORD,139,719,6,8
2013,1,1,611,11,945,14,UA,N532UA,303,JFK,SFO,366,2586,6,11
2013,1,1,613,3,925,4,B6,N635JB,135,JFK,RSW,175,1074,6,13
2013,1,1,622,-8,1017,3,US,N807AW,245,EWR,PHX,342,2133,6,22
2013,1,1,623,13,920,5,AA,N3EMAA,1837,LGA,MIA,153,1096,6,23
2013,1,1,623,-4,933,1,UA,N459UA,496,LGA,IAH,229,1416,6,23
2013,1,1,624,-6,909,29,EV,N11107,4626,EWR,MSP,190,1008,6,24
2013,1,1,624,-6,840,10,MQ,N518MQ,4599,LGA,MSP,166,1020,6,24
2013,1,1,628,-2,1016,29,UA,N33289,1665,EWR,LAX,366,2454,6,28
2013,1,1,629,-1,824,14,AA,N3CYAA,303,LGA,ORD,140,733,6,29
2013,1,1,632,24,740,12,EV,N13553,4144,EWR,IAD,52,212,6,32
2013,1,1,635,0,1028,48,AA,N3GKAA,711,LGA,DFW,248,1389,6,35
2013,1,1,644,8,931,-9,UA,N75435,1701,EWR,FLL,151,1065,6,44
2013,1,1,645,-2,815,5,B6,N796JB,102,JFK,BUF,63,301,6,45
2013,1,1,646,1,910,-6,UA,N569UA,883,LGA,DEN,243,1620,6,46
2013,1,1,646,1,1023,-7,UA,N38727,1496,EWR,SNA,380,2434,6,46
2013,1,1,652,-3,932,11,B6,N178JB,117,JFK,MSY,191,1182,7,52
2013,1,1,656,-4,854,4,AA,N4WNAA,305,LGA,ORD,143,733,7,56
2013,1,1,656,-9,1007,27,MQ,N722MQ,4534,LGA,XNA,233,1147,7,56
2013,1,1,658,-2,944,5,DL,N6703D,1547,LGA,ATL,126,762,7,58
2013,1,1,658,-2,1027,2,VX,N627VA,399,JFK,LAX,361,2475,7,58
2013,1,1,659,-1,1008,1,B6,N646JB,981,JFK,FLL,156,1069,7,59
2013,1,1,701,1,1123,-31,UA,N77296,1203,EWR,SJU,188,1608,7,1
2013,1,1,702,2,1058,44,B6,N779JB,671,JFK,LAX,381,2475,7,2
2013,1,1,709,9,852,20,UA,N26226,1092,LGA,ORD,135,733,7,9
2013,1,1,715,2,911,21,UA,N841UA,544,EWR,ORD,156,719,7,15
2013,1,1,717,-3,850,10,FL,N978AT,850,LGA,MKE,134,738,7,17
2013,1,1,719,-2,1017,5,B6,N562JB,987,JFK,MCO,147,944,7,19
2013,1,1,724,-6,1111,31,AA,N541AA,715,LGA,DFW,254,1389,7,24
2013,1,1,725,-5,1052,12,AA,N4WRAA,2083,EWR,DFW,238,1372,7,25
2013,1,1,727,-3,959,7,UA,N37462,1162,EWR,DEN,254,1605,7,27
2013,1,1,728,-4,1041,3,UA,N488UA,473,LGA,IAH,238,1416,7,28
2013,1,1,732,3,1041,2,B6,N563JB,1601,LGA,RSW,167,1080,7,32
2013,1,1,732,47,1011,30,UA,N37456,1111,EWR,MCO,145,937,7,32
2013,1,1,733,-3,854,4,B6,N552JB,44,JFK,SYR,54,209,7,33
2013,1,1,739,0,1104,26,UA,N37408,1479,EWR,IAH,249,1400,7,39
2013,1,1,741,-4,1038,2,B6,N633JB,983,LGA,TPA,158,1010,7,41
2013,1,1,743,13,1107,7,AA,N338AA,33,JFK,LAX,358,2475,7,43
2013,1,1,743,13,1059,3,DL,N3760C,495,JFK,SEA,349,2422,7,43
2013,1,1,745,0,1135,10,AA,N336AA,59,JFK,SFO,378,2586,7,45
2013,1,1,749,39,939,49,MQ,N508MQ,3737,EWR,ORD,148,719,7,49
2013,1,1,752,2,1025,-4,UA,N511UA,477,LGA,DEN,249,1620,8,52
2013,1,1,754,-1,1103,33,WN,N789SW,733,LGA,DEN,279,1620,8,54
2013,1,1,800,0,1022,8,DL,N317US,2119,LGA,MSP,171,1020,8,0
2013,1,1,803,3,1132,-12,UA,N510UA,223,JFK,SFO,369,2586,8,3
2013,1,1,805,0,1015,10,B6,N273JB,219,JFK,CLT,98,541,8,5
2013,1,1,805,5,1118,12,B6,N570JB,3,JFK,FLL,165,1069,8,5
2013,1,1,810,0,1048,11,9E,N915XJ,3538,JFK,MSP,189,1029,8,10
2013,1,1,811,101,1047,137,MQ,N531MQ,4576,LGA,CLT,118,544,8,11
2013,1,1,811,-4,1026,10,US,N654AW,675,EWR,CLT,96,529,8,11
2013,1,1,812,-2,1040,23,EV,N17108,4537,EWR,MEM,180,946,8,12
2013,1,1,813,-2,1103,7,DL,N375NC,914,LGA,DEN,267,1620,8,13
2013,1,1,814,4,1047,17,FL,N977AT,346,LGA,ATL,132,762,8,14
2013,1,1,817,7,1005,17,B6,N228JB,1051,JFK,PIT,86,340,8,17
2013,1,1,821,1,1153,24,B6,N521JB,181,JFK,SAN,354,2446,8,21
2013,1,1,823,0,1151,16,UA,N39728,1223,EWR,DFW,250,1372,8,23
2013,1,1,824,-6,1027,2,AA,N573AA,1855,LGA,STL,169,888,8,24
2013,1,1,826,71,1136,51,AA,N3GVAA,443,JFK,MIA,160,1089,8,26
2013,1,1,826,9,1145,-13,UA,N76522,1480,EWR,SFO,357,2565,8,26
2013,1,1,828,-2,1027,15,B6,N274JB,905,JFK,ORD,160,740,8,28
2013,1,1,828,5,1150,7,UA,N76528,1506,EWR,LAX,359,2454,8,28
2013,1,1,830,0,1018,3,AA,N4YCAA,313,LGA,ORD,137,733,8,30
2013,1,1,833,-2,1134,32,F9,N203FR,835,LGA,DEN,257,1620,8,33
2013,1,1,835,0,1210,20,AA,N3BDAA,717,LGA,DFW,249,1389,8,35
2013,1,1,846,1,1138,-27,B6,N564JB,553,EWR,RSW,157,1068,8,46
2013,1,1,848,853,1001,851,MQ,N942MQ,3944,JFK,BWI,41,184,8,48
2013,1,1,848,-3,1155,19,UA,N27724,1741,EWR,JAC,275,1874,8,48
2013,1,1,851,11,1215,9,UA,N39297,1626,EWR,SAN,367,2425,9,51
2013,1,1,852,-3,1046,26,WN,N777QC,3848,EWR,MDW,146,711,9,52
2013,1,1,853,8,1147,2,B6,N184JB,59,JFK,TPA,159,1005,9,53
2013,1,1,856,-4,1226,6,AA,N324AA,1,JFK,LAX,358,2475,9,56
2013,1,1,856,1,1140,-23,UA,N75426,1296,EWR,PBI,150,1023,9,56
2013,1,1,857,6,1157,-25,UA,N45440,1670,EWR,SEA,343,2402,9,57
2013,1,1,900,0,1211,8,UA,N19130,1170,EWR,FLL,161,1065,9,0
2013,1,1,902,-1,1048,3,UA,N820UA,580,EWR,ORD,145,719,9,2
2013,1,1,903,43,1045,50,MQ,N532MQ,4655,LGA,BNA,142,764,9,3
2013,1,1,905,0,1309,40,B6,N281JB,1061,JFK,AUS,263,1521,9,5
2013,1,1,906,23,1134,9,UA,N17139,1643,EWR,DEN,246,1605,9,6
2013,1,1,908,0,1228,9,UA,N12216,1220,EWR,IAH,233,1400,9,8
2013,1,1,909,59,1331,16,AA,N5EXAA,655,JFK,STT,184,1623,9,9
2013,1,1,912,12,1241,21,AA,N5CRAA,647,JFK,MIA,166,1089,9,12
2013,1,1,912,6,1219,-7,UA,N38403,1601,EWR,MIA,159,1085,9,12
2013,1,1,914,-6,1244,4,AA,N517AA,1589,EWR,DFW,238,1372,9,14
2013,1,1,914,14,1058,15,UA,N810UA,783,EWR,CLE,85,404,9,14
2013,1,1,917,-3,1313,28,AA,N596AA,721,LGA,DFW,258,1389,9,17
2013,1,1,917,2,1206,-5,B6,N568JB,41,JFK,MCO,145,944,9,17
2013,1,1,920,15,1039,14,B6,N346JB,1305,JFK,IAD,52,228,9,20
2013,1,1,920,0,1152,27,MQ,N527MQ,4582,LGA,CLT,92,544,9,20
2013,1,1,921,21,1237,10,DL,N713TW,120,JFK,LAX,333,2475,9,21
2013,1,1,923,4,1026,-4,B6,N580JB,1004,JFK,BOS,38,187,9,23
2013,1,1,926,4,1221,2,B6,N534JB,57,JFK,PBI,151,1028,9,26
2013,1,1,926,-2,1233,13,UA,N27733,1597,EWR,EGE,287,1726,9,26
2013,1,1,929,4,1220,30,WN,N957WN,766,EWR,DEN,264,1605,9,29
2013,1,1,930,25,1218,9,UA,N57439,1148,EWR,TPA,149,997,9,30
2013,1,1,931,1,1237,-1,B6,N508JB,375,LGA,FLL,161,1076,9,31
2013,1,1,931,1,1121,13,UA,N479UA,255,LGA,ORD,154,733,9,31
2013,1,1,932,2,1219,-6,VX,N641VA,251,JFK,LAS,324,2248,9,32
2013,1,1,933,29,1252,42,B6,N579JB,17,JFK,FLL,170,1069,9,33
2013,1,1,933,-2,1120,15,WN,N487WN,3895,LGA,MDW,145,725,9,33
2013,1,1,937,-3,1238,3,B6,N615JB,361,LGA,PBI,154,1035,9,37
2013,1,1,937,-3,1127,7,WN,N729SW,1807,LGA,MKE,143,738,9,37
2013,1,1,940,-15,1226,6,MQ,N525MQ,4654,LGA,ATL,129,762,9,40
2013,1,1,941,-4,1300,2,B6,N806JB,679,JFK,LAX,352,2475,9,41
2013,1,1,950,-4,1155,13,EV,N12567,4681,EWR,STL,170,872,10,50
2013,1,1,953,-6,1141,12,MQ,N6EAMQ,4670,LGA,BNA,144,764,10,53
2013,1,1,953,32,1320,39,UA,N586UA,222,EWR,LAX,346,2454,10,53
2013,1,1,955,-5,1336,11,US,N642AW,75,EWR,PHX,324,2133,10,55
2013,1,1,957,144,1056,123,UA,N534UA,856,EWR,BOS,37,200,10,57
2013,1,1,1003,4,1408,39,US,N541UW,196,JFK,PHX,342,2153,10,3
2013,1,1,1005,5,1239,5,UA,N81449,1625,EWR,DEN,254,1605,10,5
2013,1,1,1007,-3,1147,7,MQ,N503MQ,3795,EWR,ORD,131,719,10,7
2013,1,1,1010,-5,1225,11,US,N712US,1441,JFK,CLT,97,541,10,10
2013,1,1,1011,10,1133,5,EV,N820AS,5736,LGA,IAD,59,229,10,11
2013,1,1,1021,-2,1254,2,FL,N942AT,347,LGA,ATL,129,762,10,21
2013,1,1,1025,5,1356,26,AA,N3FXAA,731,LGA,DFW,247,1389,10,25
2013,1,1,1025,34,1258,-4,UA,N437UA,501,EWR,MCO,137,937,10,25
2013,1,1,1026,-4,1351,11,AA,N328AA,19,JFK,LAX,356,2475,10,26
2013,1,1,1028,2,1350,11,UA,N76508,1004,LGA,IAH,237,1416,10,28
2013,1,1,1029,-1,1427,32,AA,N325AA,179,JFK,SFO,389,2586,10,29
2013,1,1,1031,1,1353,-22,VX,N625VA,23,JFK,SFO,363,2586,10,31
2013,1,1,1031,1,1323,-11,UA,N77258,1294,EWR,FLL,157,1065,10,31
2013,1,1,1032,-3,1305,15,EV,N13955,4180,EWR,IND,135,645,10,32
2013,1,1,1033,16,1130,-6,UA,N849UA,779,EWR,BOS,42,200,10,33
2013,1,1,1037,7,1221,11,AA,N581AA,321,LGA,ORD,133,733,10,37
2013,1,1,1038,8,1223,21,UA,N423UA,985,EWR,ORD,149,719,10,38
2013,1,1,1042,2,1325,-1,B6,N529JB,31,JFK,MCO,142,944,10,42
2013,1,1,1044,-1,1231,19,EV,N15555,4322,EWR,MKE,151,725,10,44
2013,1,1,1044,-1,1352,1,UA,N667UA,455,EWR,IAH,229,1400,10,44
2013,1,1,1044,3,1339,-11,UA,N76503,1060,EWR,RSW,157,1068,10,44
2013,1,1,1048,-2,1302,12,MQ,N537MQ,4589,LGA,DTW,112,502,10,48
2013,1,1,1053,3,1402,4,B6,N520JB,373,LGA,FLL,165,1076,11,53
2013,1,1,1059,6,1342,-9,UA,N451UA,369,EWR,LAS,325,2227,11,59
2013,1,1,1101,18,1345,13,B6,N630JB,545,EWR,PBI,145,1023,11,1
2013,1,1,1103,3,1410,-11,DL,N339NW,2071,LGA,MIA,155,1096,11,3
2013,1,1,1105,18,1428,23,UA,N521UA,688,EWR,SFO,356,2565,11,5
2013,1,1,1112,12,1440,2,UA,N517UA,285,JFK,SFO,364,2586,11,12
2013,1,1,1113,-2,1318,3,DL,N320NB,1031,LGA,DTW,104,502,11,13
2013,1,1,1114,134,1447,145,UA,N76502,1086,LGA,IAH,248,1416,11,14
2013,1,1,1120,96,1331,78,EV,N16561,4495,EWR,SAV,117,708,11,20
2013,1,1,1120,-5,1330,5,WN,N469WN,1057,LGA,STL,176,888,11,20
2013,1,1,1123,13,1410,34,UA,N587UA,405,LGA,DEN,256,1620,11,23
2013,1,1,1124,24,1435,4,B6,N590JB,641,JFK,SFO,349,2586,11,24
2013,1,1,1127,-3,1504,16,UA,N518UA,703,JFK,LAX,357,2475,11,27
2013,1,1,1130,5,1301,-4,AA,N3DEAA,327,LGA,ORD,127,733,11,30
2013,1,1,1130,-1,1345,3,DL,N343NB,2219,LGA,MSP,166,1020,11,30
2013,1,1,1133,4,1440,3,B6,N652JB,133,JFK,RSW,168,1074,11,33
2013,1,1,1133,3,1448,-2,VX,N839VA,409,JFK,LAX,347,2475,11,33
2013,1,1,1143,-2,1512,5,UA,N39726,1010,EWR,SNA,371,2434,11,43
2013,1,1,1144,-1,1422,11,EV,N695CA,4876,EWR,ATL,126,746,11,44
2013,1,1,1147,-8,1335,8,FL,N932AT,353,LGA,CAK,82,397,11,47
2013,1,1,1153,-6,1350,9,EV,N29917,4275,EWR,CMH,95,463,12,53
2013,1,1,1153,30,1454,29,B6,N552JB,1,JFK,FLL,167,1069,12,53
2013,1,1,1154,-6,1452,22,MQ,N8EGMQ,4658,LGA,ATL,141,762,12,54
2013,1,1,1155,-5,1517,7,AA,N322AA,3,JFK,LAX,353,2475,12,55
2013,1,1,1155,-5,1441,1,DL,N904DL,1947,LGA,ATL,133,762,12,55
2013,1,1,1158,-7,1530,10,AA,N426AA,743,LGA,DFW,248,1389,12,58
2013,1,1,1158,-2,1338,7,UA,N588UA,701,LGA,ORD,142,733,12,58
2013,1,1,1200,0,1408,12,US,N755US,1443,JFK,CLT,102,541,12,0
2013,1,1,1202,-5,1318,4,EV,N11536,4347,EWR,BTV,51,266,12,2
2013,1,1,1202,3,1645,-8,UA,N38403,1663,EWR,SJU,187,1608,12,2
2013,1,1,1203,-2,1501,24,EV,N13978,3850,EWR,ATL,142,746,12,3
2013,1,1,1203,3,1519,-26,VX,N843VA,25,JFK,SFO,353,2586,12,3
2013,1,1,1204,4,1500,12,B6,N612JB,523,EWR,MCO,139,937,12,4
2013,1,1,1205,5,1503,-2,UA,N39418,1461,EWR,IAH,221,1400,12,5
2013,1,1,1208,10,1540,38,B6,N239JB,625,JFK,HOU,253,1428,12,8
2013,1,1,1211,-4,1423,10,EV,N21537,4135,EWR,CLT,102,529,12,11
2013,1,1,1217,-3,1414,24,MQ,N517MQ,3697,EWR,ORD,143,719,12,17
2013,1,1,1220,0,1403,23,WN,N254WN,133,EWR,MDW,142,711,12,20
2013,1,1,1222,23,1512,43,EV,N14916,4679,EWR,JAX,131,820,12,22
2013,1,1,1228,4,1631,27,UA,N38459,1114,EWR,PHX,339,2133,12,28
2013,1,1,1230,-5,1440,2,EV,N741EV,5311,EWR,DTW,108,488,12,30
2013,1,1,1231,-7,1449,3,DL,N920DL,1131,LGA,DTW,108,502,12,31
2013,1,1,1231,2,1523,-6,UA,N402UA,428,EWR,FLL,156,1065,12,31
2013,1,1,1238,-2,1410,5,WN,N297WN,564,LGA,MKE,137,738,12,38
2013,1,1,1240,11,1451,23,EV,N14543,4118,EWR,DTW,114,488,12,40
2013,1,1,1240,5,1415,0,MQ,N828MQ,4404,JFK,RDU,79,427,12,40
2013,1,1,1245,0,1616,1,DL,N711ZX,2174,JFK,SLC,298,1990,12,45
2013,1,1,1246,21,1424,36,B6,N228JB,66,JFK,BUF,70,301,12,46
2013,1,1,1251,-1,1611,16,B6,N657JB,85,JFK,FLL,173,1069,13,51
2013,1,1,1252,7,1624,34,AA,N3FTAA,745,LGA,DFW,243,1389,13,52
2013,1,1,1253,41,1524,48,UA,N576UA,754,EWR,DEN,252,1605,13,53
2013,1,1,1255,-5,1541,4,DL,N644DL,781,LGA,ATL,132,762,13,55
2013,1,1,1255,0,1540,5,WN,N732SW,1251,LGA,DEN,264,1620,13,55
2013,1,1,1255,55,1451,81,MQ,N518MQ,4601,LGA,BNA,139,764,13,55
2013,1,1,1257,-3,1454,4,MQ,N739MQ,4426,LGA,CMH,97,479,13,57
2013,1,1,1258,-2,1459,19,AA,N511AA,329,LGA,ORD,147,733,13,58
2013,1,1,1301,21,1633,53,AA,N544AA,1853,EWR,DFW,252,1372,13,1
2013,1,1,1301,71,1518,93,MQ,N542MQ,4646,LGA,MSP,170,1020,13,1
2013,1,1,1301,6,1629,26,UA,N825UA,765,EWR,DFW,243,1372,13,1
2013,1,1,1302,3,1402,-2,B6,N273JB,1006,JFK,BOS,40,187,13,2
2013,1,1,1302,2,1553,-8,UA,N78511,1435,EWR,MIA,158,1085,13,2
2013,1,1,1304,37,1518,56,EV,N19966,4640,EWR,DAY,107,533,13,4
2013,1,1,1304,5,1430,12,B6,N346JB,32,JFK,ROC,65,264,13,4
2013,1,1,1305,-10,1523,3,MQ,N725MQ,4564,LGA,DTW,102,502,13,5
2013,1,1,1306,26,1622,27,AA,N5DMAA,2041,JFK,MIA,163,1089,13,6
2013,1,1,1306,6,1622,12,WN,N773SA,2596,EWR,HOU,239,1411,13,6
2013,1,1,1310,10,1559,5,B6,N593JB,991,JFK,PBI,150,1028,13,10
2013,1,1,1314,-1,1507,2,US,N177US,1615,EWR,CLT,95,529,13,14
