time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipProbability,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,date,precipIntensityMaxTime,precipType,precipAccumulation
1451624400,Overcast throughout the day.,partly-cloudy-day,1451650860,1451684400,0.75,0.0,0.0,0.0,40.85,1451669940,32.43,1451735760,37.2,1451649600,29.31,1451727600,26.43,0.6,1016.9,5.11,15.25,1451674860,282,0.72,1,1451667600,9.997,34.4,1451707200,42.48,1451624400,30.15,1451707200,40.13,1451631540,2016-01-01,,,
1451710800,Mostly cloudy throughout the day.,partly-cloudy-day,1451737260,1451770860,0.78,0.0,0.0,0.0,40.32,1451767800,31.02,1451808360,36.5,1451779200,31.51,1451808360,21.07,0.55,1016.9,3.7,13.45,1451757540,279,0.43,2,1451754360,9.997,31.77,1451792640,40.32,1451767800,29.31,1451727600,36.55,1451779680,2016-01-02,,,
1451797200,Clear throughout the day.,clear-day,1451823660,1451857320,0.81,0.0,0.0,0.0,45.42,1451842140,28.48,1451912400,41.74,1451844000,22.4,1451912400,24.47,0.58,1011.2,3.54,16.38,1451840100,272,0.17,2,1451840340,9.997,31.02,1451808360,45.42,1451842140,31.51,1451808360,41.74,1451844000,2016-01-03,,,
1451883600,Clear throughout the day.,partly-cloudy-day,1451910060,1451943780,0.84,0.0,0.0,0.0,30.29,1451908800,10.59,1451992260,23.17,1451908800,-3.54,1451991900,11.05,0.5,1017.5,10.15,17.75,1451934780,337,0.34,2,1451926860,9.997,14.7,1451966400,36.39,1451883600,1.68,1451960820,35.89,1451883600,2016-01-04,,,
1451970000,Clear throughout the day.,clear-day,1451996460,1452030180,0.87,0.0,0.0,0.0,29.88,1452026820,16.91,1452078660,26.78,1452035520,17.4,1452078660,1.53,0.46,1034.6,6.86,18.37,1451970540,349,0.02,2,1452013260,9.997,10.59,1451992260,29.88,1452026820,-3.54,1451991900,26.78,1452035520,2016-01-05,,,
1452056400,Clear throughout the day.,clear-day,1452082860,1452116640,0.9,0.0,0.0,0.0,41.57,1452109800,25.33,1452153720,37.4,1452109620,25.82,1452153720,9.25,0.45,1033.4,3.53,7.33,1452130800,228,0.02,2,1452099720,9.997,16.91,1452078660,41.57,1452109800,17.4,1452078660,37.4,1452109620,2016-01-06,,,
1452142800,Mostly cloudy throughout the day.,partly-cloudy-day,1452169260,1452203100,0.93,0.0,0.0,0.0,45.56,1452197040,31.94,1452257520,45.06,1452197040,26.0,1452257820,16.53,0.46,1025.7,1.43,4.1,1452146940,284,0.39,2,1452184500,9.997,25.33,1452153720,45.56,1452197040,25.82,1452153720,45.06,1452197040,2016-01-07,,,
1452229200,Mostly cloudy throughout the day.,partly-cloudy-day,1452255660,1452289560,0.97,0.0,0.0,0.0,44.36,1452294240,40.45,1452327360,40.9,1452297600,35.6,1452322920,28.65,0.66,1022.2,5.77,8.75,1452279480,51,0.7,2,1452272340,9.997,31.94,1452257520,44.36,1452294240,26.0,1452257820,40.9,1452297840,2016-01-08,,,
1452315600,Light rain overnight.,cloudy,1452342060,1452376020,0.0,0.0,0.0,0.0,47.32,1452368580,46.0,1452384000,44.19,1452380700,40.73,1452422520,39.17,0.82,1020.8,6.79,11.03,1452398220,66,0.96,2,1452358980,8.991,40.45,1452327360,47.74,1452398400,35.6,1452322920,44.99,1452390540,2016-01-09,,,
1452402000,Rain until evening.,rain,1452428460,1452462480,0.04,0.0584,0.2797,1.0,59.41,1452452160,29.94,1452517200,58.91,1452452160,20.99,1452513480,46.95,0.85,1001.1,11.17,21.96,1452476940,162,0.82,2,1452445380,5.82,40.61,1452484800,59.41,1452452160,33.05,1452484800,58.91,1452452160,2016-01-10,1452431700.0,rain,
